"GeneID"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"	"Symbol"	"Description"
7432	2.37e-10	7.39e-13	0.4215	-7.1719896	-3.02267493	92.88	"VIP"	"vasoactive intestinal peptide"
6622	8.67e-09	6.57e-11	0.405	-6.5300871	-2.6444741	1511.67	"SNCA"	"synuclein alpha"
2554	9.19e-09	7.08e-11	0.5342	-6.5188897	-3.48240065	2159.19	"GABRA1"	"gamma-aminobutyric acid type A receptor subunit alpha1"
3361	2.5e-07	4.71e-09	0.5248	-5.8569719	-3.07382671	137.72	"HTR5A"	"5-hydroxytryptamine receptor 5A"
6623	2.86e-07	5.85e-09	0.4337	-5.820925	-2.52444494	638.42	"SNCG"	"synuclein gamma"
2561	3.16e-07	6.64e-09	0.5327	-5.7998095	-3.08971101	3074.74	"GABRB2"	"gamma-aminobutyric acid type A receptor subunit beta2"
6347	3.75e-07	8.28e-09	0.6208	5.7626578	3.57761373	462.36	"CCL2"	"C-C motif chemokine ligand 2"
6857	5.71e-07	1.42e-08	0.4992	-5.6709437	-2.83120621	9840.17	"SYT1"	"synaptotagmin 1"
23025	8.89e-07	2.53e-08	0.3256	-5.5709331	-1.81407515	4091.12	"UNC13A"	"unc-13 homolog A"
2572	4.91e-06	2.12e-07	0.5399	-5.1887108	-2.80162231	941.67	"GAD2"	"glutamate decarboxylase 2"
8448	1.37e-05	7.52e-07	0.2791	-4.9473618	-1.38098939	653.8	"DOC2A"	"double C2 domain alpha"
6620	2.76e-05	1.85e-06	0.5256	-4.7688458	-2.50632533	1186.96	"SNCB"	"synuclein beta"
1588	4.68e-05	3.51e-06	0.4873	4.6387059	2.26054533	35.12	"CYP19A1"	"cytochrome P450 family 19 subfamily A member 1"
55117	8.71e-05	7.78e-06	0.5494	-4.4710155	-2.45620192	824.34	"SLC6A15"	"solute carrier family 6 member 15"
887	0.000111	1.06e-05	0.5918	-4.4052739	-2.60715903	127.75	"CCKBR"	"cholecystokinin B receptor"
140679	0.000161	1.67e-05	0.5256	-4.3053534	-2.2628358	155.68	"SLC32A1"	"solute carrier family 32 member 1"
785	0.000166	1.74e-05	0.2419	-4.2964376	-1.03931445	2460.34	"CACNB4"	"calcium voltage-gated channel auxiliary subunit beta 4"
10814	0.00017	1.78e-05	0.5825	-4.290501	-2.49913018	8176.42	"CPLX2"	"complexin 2"
4137	0.000252	2.96e-05	0.2157	-4.1763843	-0.90072769	5327.99	"MAPT"	"microtubule associated protein tau"
5071	0.000289	3.5e-05	0.1713	-4.1381736	-0.70878972	380	"PRKN"	"parkin RBR E3 ubiquitin protein ligase"
8842	0.000304	3.74e-05	0.4479	4.122745	1.84655728	673.8	"PROM1"	"prominin 1"
27165	0.000918	0.000147	0.2221	-3.7967697	-0.84329873	315.03	"GLS2"	"glutaminase 2"
773	0.00112	0.000187	0.378	-3.7359341	-1.41231265	1873.33	"CACNA1A"	"calcium voltage-gated channel subunit alpha1 A"
57030	0.00303	0.000626	0.6342	-3.4198771	-2.16901184	2774.69	"SLC17A7"	"solute carrier family 17 member 7"
150	0.0046	0.00105	0.4083	-3.2767031	-1.33794065	85.43	"ADRA2A"	"adrenoceptor alpha 2A"
2550	0.00462	0.00106	0.23	-3.2750708	-0.75317437	6210	"GABBR1"	"gamma-aminobutyric acid type B receptor subunit 1"
55328	0.0047	0.00108	0.2469	-3.2692762	-0.80728623	506.77	"RNLS"	"renalase, FAD dependent amine oxidase"
3064	0.0189	0.00592	0.1314	-2.7520146	-0.36156755	4655.38	"HTT"	"huntingtin"
23446	0.021	0.00677	0.3077	-2.7079601	-0.8332047	9963.75	"SLC44A1"	"solute carrier family 44 member 1"
29082	0.0304	0.0107	0.1953	-2.5519686	-0.49834704	475.73	"CHMP4A"	"charged multivesicular body protein 4A"
6863	0.0373	0.0137	0.6013	-2.4654386	-1.48237724	119.15	"TAC1"	"tachykinin precursor 1"
8447	0.0818	0.0365	0.4788	-2.0917407	-1.00144666	648.58	"DOC2B"	"double C2 domain beta"
9381	0.0844	0.0379	0.4382	-2.0760015	-0.90965745	80.25	"OTOF"	"otoferlin"
476	0.0849	0.0382	0.218	-2.0731012	-0.45189937	6310.64	"ATP1A1"	"ATPase Na+/K+ transporting subunit alpha 1"
10743	0.144	0.074	0.258	-1.7865816	-0.46090382	1181.98	"RAI1"	"retinoic acid induced 1"
5460	0.145	0.0747	0.331	1.7823527	0.58998662	19.55	"POU5F1"	"POU class 5 homeobox 1"
7161	0.146	0.0753	0.3104	1.7784049	0.55205396	87.61	"TP73"	"tumor protein p73"
4204	0.146	0.0754	0.1472	-1.7779643	-0.26163254	3443.23	"MECP2"	"methyl-CpG binding protein 2"
4852	0.148	0.077	0.6013	-1.7685571	-1.06350988	200.69	"NPY"	"neuropeptide Y"
2571	0.172	0.0925	0.4703	-1.6822422	-0.79124037	2166.59	"GAD1"	"glutamate decarboxylase 1"
351	0.187	0.103	0.1673	-1.631127	-0.27291028	18180.72	"APP"	"amyloid beta precursor protein"
3061	0.276	0.17	0.1328	-1.3712201	-0.18208983	80.58	"HCRTR1"	"hypocretin receptor 1"
3553	0.303	0.191	0.626	1.3064595	0.81780641	324.05	"IL1B"	"interleukin 1 beta"
128866	0.305	0.193	0.1442	-1.3012919	-0.18771122	1177.95	"CHMP4B"	"charged multivesicular body protein 4B"
4929	0.326	0.211	0.4427	-1.2509189	-0.55372558	282.38	"NR4A2"	"nuclear receptor subfamily 4 group A member 2"
6197	0.344	0.226	0.2046	1.210131	0.24763969	1486.38	"RPS6KA3"	"ribosomal protein S6 kinase A3"
1312	0.39	0.267	0.1918	1.1107909	0.21309887	1258.91	"COMT"	"catechol-O-methyltransferase"
222962	0.406	0.281	0.3168	1.0779946	0.34151746	538.18	"SLC29A4"	"solute carrier family 29 member 4"
132	0.464	0.336	0.1973	-0.9617487	-0.1897469	475.3	"ADK"	"adenosine kinase"
9342	0.602	0.476	0.1298	0.7126073	0.0924819	817.96	"SNAP29"	"synaptosome associated protein 29"
29106	0.907	0.862	0.3451	0.1733993	0.05984023	4026.21	"SCG3"	"secretogranin III"
285195	0.908	0.864	0.2527	0.1710281	0.04322085	970.42	"SLC9A9"	"solute carrier family 9 member A9"
5468	0.968	0.951	0.3102	-0.0617693	-0.01915882	141.96	"PPARG"	"peroxisome proliferator activated receptor gamma"
6532	0.974	0.961	0.2682	0.0488163	0.01309082	26.19	"SLC6A4"	"solute carrier family 6 member 4"
9104	0.977	0.965	0.3124	0.0439772	0.01374031	454.26	"RGN"	"regucalcin"
27232	0.982	0.973	0.2631	-0.0337296	-0.00887307	33.67	"GNMT"	"glycine N-methyltransferase"
