GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
105373891	2.44e-21	1.02e-25	0.3983	-10.4845974	-4.17608895	37.23	LOC105373891	uncharacterized LOC105373891
4323	7.24e-15	6.03e-19	0.3188	8.891411	2.83474378	1218.05	MMP14	matrix metallopeptidase 14
613212	7.28e-15	9.10e-19	0.5297	-8.845684	-4.6853566	55.65	CTXN3	cortexin 3
26034	9.70e-15	1.62e-18	0.2818	-8.7813547	-2.47436045	1479.4	IPCEF1	interaction protein for cytohesin exchange factors 1
1281	1.16e-14	2.42e-18	0.5504	8.7357588	4.80779789	1406.39	COL3A1	collagen type III alpha 1 chain
8994	2.04e-14	5.09e-18	0.1515	8.6514408	1.31029666	914.97	LIMD1	LIM domain containing 1
7045	5.43e-14	1.58e-17	0.4816	8.5208925	4.10408258	772.19	TGFBI	transforming growth factor beta induced
4057	8.62e-14	2.87e-17	0.8171	8.4516954	6.90568525	2181.69	LTF	lactotransferrin
25878	1.37e-13	5.12e-17	0.5268	8.3839799	4.41701401	502.49	MXRA5	matrix remodeling associated 5
7076	1.55e-13	6.44e-17	0.3987	8.3569325	3.33160304	1413.8	TIMP1	TIMP metallopeptidase inhibitor 1
729178	2.11e-13	9.68e-17	0.2345	-8.3086016	-1.94875567	329.42	STXBP5-AS1	STXBP5 antisense RNA 1
401097	2.19e-13	1.09e-16	0.3676	-8.2940034	-3.04889338	109.07	C3orf80	chromosome 3 open reading frame 80
115273	2.97e-13	1.61e-16	0.3173	8.2480308	2.61745585	59.51	RAB42	RAB42, member RAS oncogene family
1117	1.07e-12	7.61e-16	0.6425	8.0603405	5.17848298	1713.23	CHI3L2	chitinase 3 like 2
346389	1.07e-12	6.87e-16	0.3032	8.0728419	2.44728782	52.13	MACC1	MET transcriptional regulator MACC1
2805	1.07e-12	6.84e-16	0.2364	-8.0733467	-1.9085385	1423.38	GOT1	glutamic-oxaloacetic transaminase 1
1282	1.07e-12	7.38e-16	0.4649	8.0641363	3.74928511	5309.86	COL4A1	collagen type IV alpha 1 chain
10763	1.24e-12	1.13e-15	0.3752	8.0116058	3.00565027	5632.58	NES	nestin
29927	1.24e-12	9.86e-16	0.1781	8.0285534	1.42949296	3553.44	SEC61A1	SEC61 translocon subunit alpha 1
84293	1.24e-12	1.05e-15	0.1383	-8.0211892	-1.10903394	3146.51	PRXL2A	peroxiredoxin like 2A
7465	1.24e-12	1.03e-15	0.4033	8.0231104	3.23560841	551.75	WEE1	WEE1 G2 checkpoint kinase
10631	1.24e-12	1.09e-15	0.7596	8.0159911	6.0891249	1536.48	POSTN	periostin
728606	1.51e-12	1.45e-15	0.3224	-7.9815532	-2.57316244	20.85	PCAT18	prostate cancer associated transcript 18
7431	3.14e-12	3.26e-15	0.3082	7.8803968	2.42899176	14233.67	VIM	vimentin
871	3.14e-12	3.27e-15	0.3543	7.8799725	2.79226104	713.63	SERPINH1	serpin family H member 1
10252	4.52e-12	4.89e-15	0.3147	7.8296867	2.46371563	636.27	SPRY1	sprouty RTK signaling antagonist 1
6775	4.98e-12	5.65e-15	0.3814	-7.8114868	-2.97916954	261.01	STAT4	signal transducer and activator of transcription 4
102724834	4.98e-12	5.98e-15	0.5913	-7.8043861	-4.61480789	61.97	LINC02822	long intergenic non-protein coding RNA 2822
4318	4.98e-12	6.02e-15	0.6786	7.8035733	5.29533144	301.99	MMP9	matrix metallopeptidase 9
10437	6.04e-12	7.54e-15	0.4174	7.7749976	3.24528402	556.61	IFI30	IFI30 lysosomal thiol reductase
151835	6.12e-12	7.90e-15	0.3595	-7.7692161	-2.79341666	175.63	CPNE9	copine family member 9
107986167	7.54e-12	1.04e-14	0.2891	7.7347117	2.23620953	55.85	LOC107986167	uncharacterized LOC107986167
8714	7.54e-12	1.03e-14	0.5864	7.7353434	4.5362796	482.7	ABCC3	ATP binding cassette subfamily C member 3
140767	8.62e-12	1.22e-14	0.2815	-7.7139385	-2.17149233	529.73	NRSN1	neurensin 1
768096	9.00e-12	1.31e-14	0.4403	-7.7046759	-3.392544	52.42	HAR1A	highly accelerated region 1A
1284	1.06e-11	1.58e-14	0.4198	7.6805325	3.22427776	4108.31	COL4A2	collagen type IV alpha 2 chain
55603	1.08e-11	1.67e-14	0.3687	7.6741132	2.82979703	679.87	TENT5A	terminal nucleotidyltransferase 5A
105373895	1.12e-11	1.82e-14	0.4717	-7.6628995	-3.61425432	65.07	LOC105373895	uncharacterized LOC105373895
3426	1.12e-11	1.82e-14	0.4497	7.6629813	3.44624486	384.92	CFI	complement factor I
29015	1.18e-11	1.97e-14	0.2777	7.6526396	2.12481875	499.42	SLC43A3	solute carrier family 43 member 3
132332	1.28e-11	2.18e-14	0.4337	-7.6395485	-3.31333161	228.81	SMIM43	small integral membrane protein 43
57664	1.88e-11	3.29e-14	0.3555	7.5864223	2.69700315	338.21	PLEKHA4	pleckstrin homology domain containing A4
100996645	2.22e-11	3.97e-14	0.5578	-7.5620373	-4.21799786	30.74	LNCBRM	lncRNA SMARCA2 (BRM) associated
100507347	2.22e-11	4.07e-14	0.321	7.5587655	2.42634896	3197.18	VIM-AS1	VIM antisense RNA 1
25859	2.34e-11	4.38e-14	0.355	-7.54915	-2.67968281	370.05	PART1	prostate androgen-regulated transcript 1
2335	2.71e-11	5.20e-14	0.3952	7.5268721	2.9742599	19476.04	FN1	fibronectin 1
3915	3.38e-11	6.75e-14	0.2781	7.4926474	2.08354602	2621.68	LAMC1	laminin subunit gamma 1
22891	3.38e-11	6.72e-14	0.3068	-7.4931317	-2.29905424	2013.01	ZNF365	zinc finger protein 365
643680	3.55e-11	7.25e-14	0.434	7.4833181	3.24750108	120.57	MS4A4E	membrane spanning 4-domains A4E
253152	3.69e-11	7.69e-14	0.2931	-7.4755231	-2.19132579	112.94	EPHX4	epoxide hydrolase 4
105373805	3.89e-11	8.26e-14	0.3697	-7.4660773	-2.75997408	22.78	STAT4-AS1	STAT4 antisense RNA 1
56829	4.73e-11	1.02e-13	0.207	7.4376643	1.53950595	1860.85	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1
4481	4.97e-11	1.12e-13	0.392	7.4261241	2.91090646	831	MSR1	macrophage scavenger receptor 1
414236	4.97e-11	1.11e-13	0.6067	7.4265986	4.50564557	107.14	C10orf55	chromosome 10 putative open reading frame 55
63901	5.28e-11	1.21e-13	0.2499	7.4157535	1.85300652	671.56	FAM111A	FAM111 trypsin like peptidase A
5872	5.77e-11	1.35e-13	0.227	7.4015564	1.67998575	379.7	RAB13	RAB13, member RAS oncogene family
5999	6.60e-11	1.62e-13	0.4453	-7.3767903	-3.2851273	2562.48	RGS4	regulator of G protein signaling 4
1116	6.60e-11	1.68e-13	0.5738	7.3723052	4.23056064	8005.47	CHI3L1	chitinase 3 like 1
10788	6.60e-11	1.63e-13	0.3543	7.376203	2.61343934	524.37	IQGAP2	IQ motif containing GTPase activating protein 2
12	6.60e-11	1.64e-13	0.5566	7.3749056	4.1051955	10310.44	SERPINA3	serpin family A member 3
302	6.60e-11	1.67e-13	0.4007	7.3726015	2.95401002	1594.29	ANXA2	annexin A2
80832	1.09e-10	2.82e-13	0.5138	7.302908	3.7522151	265.08	APOL4	apolipoprotein L4
2014	1.15e-10	3.02e-13	0.342	7.2935115	2.49469775	250.8	EMP3	epithelial membrane protein 3
22918	1.26e-10	3.36e-13	0.3913	7.2789394	2.84822329	743.2	CD93	CD93 molecule
51196	1.31e-10	3.54e-13	0.1544	7.2722281	1.12297373	1810.26	PLCE1	phospholipase C epsilon 1
1123	1.51e-10	4.14e-13	0.306	-7.2509602	-2.2187295	6285.94	CHN1	chimerin 1
283431	1.55e-10	4.33e-13	0.3955	7.2447792	2.86499344	287.83	GAS2L3	growth arrest specific 2 like 3
9674	1.68e-10	4.75e-13	0.4212	7.2322712	3.04651148	602.39	KIAA0040	KIAA0040
644714	1.75e-10	5.04e-13	0.1645	7.2242092	1.18809704	177.93	LIMD1-AS1	LIMD1 antisense RNA 1
64231	1.78e-10	5.20e-13	0.4277	7.2199184	3.08786257	512.65	MS4A6A	membrane spanning 4-domains A6A
27299	1.98e-10	5.84e-13	0.4849	7.2040724	3.49334649	60.16	ADAMDEC1	ADAM like decysin 1
3105	2.03e-10	6.08e-13	0.2779	7.198616	2.0004762	7297.89	HLA-A	major histocompatibility complex, class I, A
100506474	2.14e-10	6.51e-13	0.4391	7.1894218	3.15684633	228.5	LOC100506474	uncharacterized LOC100506474
100996490	2.32e-10	7.15e-13	0.34	7.1765058	2.43986574	31.47	LINC01206	long intergenic non-protein coding RNA 1206
7432	2.37e-10	7.39e-13	0.4215	-7.1719896	-3.02267493	92.88	VIP	vasoactive intestinal peptide
51330	2.67e-10	8.45e-13	0.5214	7.1537273	3.72998308	353.57	TNFRSF12A	TNF receptor superfamily member 12A
4192	2.91e-10	9.34e-13	0.3476	7.1398327	2.48209119	388.61	MDK	midkine
84222	2.98e-10	9.68e-13	0.3324	-7.1350478	-2.37162664	44.12	TMEM191A	transmembrane protein 191A (pseudogene)
182	3.00e-10	9.85e-13	0.3125	7.1325184	2.22888954	2362.05	JAG1	jagged canonical Notch ligand 1
84441	3.59e-10	1.20e-12	0.2209	7.1058753	1.56969206	2588.56	MAML2	mastermind like transcriptional coactivator 2
5328	3.67e-10	1.24e-12	0.503	7.1009335	3.57209789	242.67	PLAU	plasminogen activator, urokinase
64778	4.26e-10	1.49e-12	0.217	7.0755799	1.53569195	2022.38	FNDC3B	fibronectin type III domain containing 3B
3382	4.26e-10	1.46e-12	0.1995	-7.0786786	-1.41188182	714.89	ICA1	islet cell autoantigen 1
1032	4.26e-10	1.49e-12	0.2347	-7.0755332	-1.66097446	308.37	CDKN2D	cyclin dependent kinase inhibitor 2D
