"GeneID"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"	"Symbol"	"Description"
6347	4.58e-12	3.02e-14	0.46	7.59745	3.4951418	328.02	"CCL2"	"C-C motif chemokine ligand 2"
1588	1.95e-09	3.11e-11	0.504	6.641461	3.3475913	30.41	"CYP19A1"	"cytochrome P450 family 19 subfamily A member 1"
4137	3.98e-07	1.58e-08	0.1587	-5.652486	-0.8970668	6843.58	"MAPT"	"microtubule associated protein tau"
8447	3.38e-06	2.02e-07	0.3259	-5.19787	-1.6937963	719.92	"DOC2B"	"double C2 domain beta"
351	9.38e-06	6.88e-07	0.1049	-4.964806	-0.5208086	31118.77	"APP"	"amyloid beta precursor protein"
10743	3.93e-05	3.87e-06	0.1274	-4.618415	-0.5882384	1194.98	"RAI1"	"retinoic acid induced 1"
128866	6.1e-05	6.58e-06	0.0719	-4.506829	-0.3241201	2575.15	"CHMP4B"	"charged multivesicular body protein 4B"
5071	9.66e-05	1.15e-05	0.2334	-4.386509	-1.023669	293.8	"PRKN"	"parkin RBR E3 ubiquitin protein ligase"
476	0.000301	4.63e-05	0.2122	-4.073555	-0.8645401	10459.51	"ATP1A1"	"ATPase Na+/K+ transporting subunit alpha 1"
23025	0.000311	4.83e-05	0.3922	-4.063664	-1.5938629	3860.58	"UNC13A"	"unc-13 homolog A"
2550	0.000323	5.04e-05	0.2036	-4.053873	-0.8254264	7844.65	"GABBR1"	"gamma-aminobutyric acid type B receptor subunit 1"
6622	0.000388	6.34e-05	0.3274	-3.999922	-1.3096258	3128.62	"SNCA"	"synuclein alpha"
3061	0.000502	8.78e-05	0.1192	-3.92215	-0.4673454	44.04	"HCRTR1"	"hypocretin receptor 1"
29106	0.000644	0.000119	0.2631	-3.84762	-1.0123016	3772.68	"SCG3"	"secretogranin III"
27165	0.000985	0.000202	0.3693	-3.716695	-1.3726443	256.03	"GLS2"	"glutaminase 2"
5460	0.0013	0.000284	0.2095	3.629668	0.760326	14.75	"POU5F1"	"POU class 5 homeobox 1"
7432	0.00136	0.000298	0.4436	-3.616632	-1.6043542	159.28	"VIP"	"vasoactive intestinal peptide"
8842	0.00178	0.000419	0.298	3.527615	1.0511965	315.19	"PROM1"	"prominin 1"
55117	0.00353	0.000972	0.3944	-3.298529	-1.3008125	790.81	"SLC6A15"	"solute carrier family 6 member 15"
8448	0.0037	0.00103	0.3383	-3.281972	-1.1102927	1178.54	"DOC2A"	"double C2 domain alpha"
9342	0.00492	0.00147	0.083	3.180387	0.2639103	835.88	"SNAP29"	"synaptosome associated protein 29"
785	0.00568	0.00176	0.2917	-3.128075	-0.9126089	1380.73	"CACNB4"	"calcium voltage-gated channel auxiliary subunit beta 4"
7161	0.00582	0.00182	0.3113	3.118544	0.9707021	67.19	"TP73"	"tumor protein p73"
3064	0.00643	0.00205	0.1244	-3.082812	-0.3835824	2406.06	"HTT"	"huntingtin"
150	0.00708	0.00231	0.3897	-3.047708	-1.1877871	122.48	"ADRA2A"	"adrenoceptor alpha 2A"
887	0.00716	0.00234	0.5618	-3.043852	-1.7100763	237.91	"CCKBR"	"cholecystokinin B receptor"
6857	0.00723	0.00237	0.5555	-3.040095	-1.6887645	13720.69	"SYT1"	"synaptotagmin 1"
2554	0.0119	0.00436	0.608	-2.851061	-1.7335694	2580.17	"GABRA1"	"gamma-aminobutyric acid type A receptor subunit alpha1"
2561	0.0125	0.00462	0.5595	-2.832219	-1.5847485	2418.57	"GABRB2"	"gamma-aminobutyric acid type A receptor subunit beta2"
773	0.016	0.00619	0.2984	-2.73733	-0.8167754	1566.89	"CACNA1A"	"calcium voltage-gated channel subunit alpha1 A"
5468	0.0169	0.00663	0.1865	2.714657	0.5063245	70.71	"PPARG"	"peroxisome proliferator activated receptor gamma"
3361	0.0183	0.00731	0.6148	-2.682589	-1.6491827	197.62	"HTR5A"	"5-hydroxytryptamine receptor 5A"
2572	0.0185	0.0074	0.5803	-2.678373	-1.5542099	1076.17	"GAD2"	"glutamate decarboxylase 2"
2571	0.019	0.00767	0.3953	-2.666189	-1.0539418	2201.8	"GAD1"	"glutamate decarboxylase 1"
9381	0.0242	0.0103	0.3956	-2.567154	-1.0155771	52.64	"OTOF"	"otoferlin"
4204	0.0252	0.0108	0.0959	-2.550351	-0.2445174	2326.64	"MECP2"	"methyl-CpG binding protein 2"
57030	0.0288	0.0126	0.5584	-2.494344	-1.3928631	9135.51	"SLC17A7"	"solute carrier family 17 member 7"
140679	0.0457	0.022	0.567	-2.29116	-1.2991878	328.35	"SLC32A1"	"solute carrier family 32 member 1"
6623	0.0462	0.0223	0.4352	-2.285873	-0.9948411	1074.38	"SNCG"	"synuclein gamma"
4852	0.0482	0.0234	0.4143	-2.26649	-0.9390917	457.12	"NPY"	"neuropeptide Y"
6620	0.1	0.0565	0.5404	-1.907494	-1.0308257	3525.03	"SNCB"	"synuclein beta"
6532	0.11	0.0626	0.1622	-1.861936	-0.3020212	12.05	"SLC6A4"	"solute carrier family 6 member 4"
6863	0.116	0.0669	0.5659	-1.832603	-1.0370684	195.78	"TAC1"	"tachykinin precursor 1"
285195	0.151	0.0921	0.2207	1.684522	0.3718007	587.54	"SLC9A9"	"solute carrier family 9 member A9"
6197	0.153	0.0933	0.1335	-1.678256	-0.2240298	949.16	"RPS6KA3"	"ribosomal protein S6 kinase A3"
9104	0.175	0.11	0.1542	1.600273	0.2467117	464.33	"RGN"	"regucalcin"
10814	0.18	0.113	0.5674	-1.583933	-0.8987181	10932.63	"CPLX2"	"complexin 2"
3553	0.184	0.117	0.4533	1.568199	0.7109223	107.39	"IL1B"	"interleukin 1 beta"
1312	0.205	0.133	0.1557	1.503942	0.2342166	1551.09	"COMT"	"catechol-O-methyltransferase"
51083	0.228	0.151	0.4324	-1.436386	-0.6210285	6.87	"GAL"	"galanin and GMAP prepropeptide"
55328	0.252	0.17	0.1877	-1.371125	-0.2573439	180.5	"RNLS"	"renalase, FAD dependent amine oxidase"
29082	0.411	0.311	0.1376	-1.012958	-0.1394285	778.08	"CHMP4A"	"charged multivesicular body protein 4A"
27232	0.447	0.346	0.1238	-0.942595	-0.1166834	24.58	"GNMT"	"glycine N-methyltransferase"
222962	0.667	0.574	0.3172	0.561458	0.1780948	509.49	"SLC29A4"	"solute carrier family 29 member 4"
23446	0.713	0.628	0.2981	-0.484976	-0.144588	8920.15	"SLC44A1"	"solute carrier family 44 member 1"
4929	0.807	0.743	0.3915	-0.328519	-0.1286168	324.75	"NR4A2"	"nuclear receptor subfamily 4 group A member 2"
132	0.859	0.807	0.078	-0.244877	-0.0191099	385.49	"ADK"	"adenosine kinase"
