GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
10788	4.48e-128	2.08e-132	0.1934	24.4861019	4.7360342	486.93	IQGAP2	IQ motif containing GTPase activating protein 2
7431	1.54e-96	1.43e-100	0.1956	21.2891778	4.1636395	40515.69	VIM	vimentin
7465	8.21e-96	1.14e-99	0.2288	21.1915422	4.8492612	823.53	WEE1	WEE1 G2 checkpoint kinase
10643	3.02e-93	5.60e-97	0.2874	20.8978269	6.0060185	440.92	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
7105	1.44e-92	3.34e-96	0.1194	20.8124624	2.4851366	1080.95	TSPAN6	tetraspanin 6
8714	3.03e-85	8.44e-89	0.3313	19.9787249	6.6193588	3264.38	ABCC3	ATP binding cassette subfamily C member 3
51330	2.25e-83	7.31e-87	0.2971	19.754666	5.8697248	876.68	TNFRSF12A	TNF receptor superfamily member 12A
6844	9.03e-82	3.35e-85	0.1302	-19.5605826	-2.546515	6487.62	VAMP2	vesicle associated membrane protein 2
55294	1.97e-81	8.23e-85	0.1354	-19.514712	-2.6424392	1862.68	FBXW7	F-box and WD repeat domain containing 7
100507347	1.06e-79	4.94e-83	0.2113	19.3043365	4.0791051	6577.64	VIM-AS1	VIM antisense RNA 1
2805	2.79e-79	1.42e-82	0.1704	-19.2495747	-3.2804918	1871.69	GOT1	glutamic-oxaloacetic transaminase 1
10763	8.12e-79	4.52e-82	0.2142	19.1895796	4.1096265	10397.99	NES	nestin
5595	8.25e-77	4.97e-80	0.0735	-18.9437289	-1.3920858	1974.15	MAPK3	mitogen-activated protein kinase 3
6452	1.58e-76	1.03e-79	0.1092	18.9054993	2.0644088	2483.32	SH3BP2	SH3 domain binding protein 2
6608	1.20e-74	8.36e-78	0.1479	18.672048	2.760917	927.09	SMO	smoothened, frizzled class receptor
63901	3.66e-73	2.72e-76	0.1338	18.4852169	2.4725835	1160.41	FAM111A	FAM111 trypsin like peptidase A
7153	1.86e-72	1.47e-75	0.4645	18.3939232	8.5448623	1413.09	TOP2A	DNA topoisomerase II alpha
121457	8.65e-72	7.23e-75	0.1696	18.307389	3.1050669	346.63	IKBIP	IKBKB interacting protein
29015	5.73e-71	5.06e-74	0.1719	18.2011196	3.1284983	754.89	SLC43A3	solute carrier family 43 member 3
643911	6.17e-71	5.73e-74	0.2781	18.1942883	5.060451	209.78	CRNDE	colorectal neoplasia differentially expressed
