Accession	Title	Source name	Tissue type
GSM1440412	BJ003	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440413	BJ007	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440414	BJ008	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440415	BJ012	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440416	BJ013	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440417	BJ015	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440418	BJ016	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440419	BJ018	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440420	BJ020	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440421	BJ021	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440422	PC121	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440423	PC122	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440424	PC126	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440425	PC127	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440426	PC65	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440427	PC128	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440428	PC129	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440429	PC66	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440430	PC134	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
GSM1440431	PC68	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample
