GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
7153	5.91e-30	2.82e-34	0.6213	12.207885	7.5843172	644.43	TOP2A	DNA topoisomerase II alpha
12	1.27e-29	1.22e-33	0.4181	12.088366	5.0536721	6231.3	SERPINA3	serpin family A member 3
4288	9.16e-28	1.31e-31	0.6095	11.697453	7.1298719	476.27	MKI67	marker of proliferation Ki-67
341	4.03e-24	7.70e-28	0.2873	10.936607	3.1423226	1042.06	APOC1	apolipoprotein C1
19	4.78e-23	1.14e-26	0.2174	10.68933	2.3237997	1757.56	ABCA1	ATP binding cassette subfamily A member 1
55872	7.36e-23	2.11e-26	0.671	10.632209	7.1346536	151.03	PBK	PDZ binding kinase
56245	1.64e-22	5.49e-26	0.3909	10.542663	4.120942	261.48	C21orf62	chromosome 21 open reading frame 62
112268112	1.35e-21	5.15e-25	0.365	10.33012	3.7699774	357.55	LOC112268112	
51330	4.49e-21	1.93e-24	0.3917	10.202564	3.9966983	216.32	TNFRSF12A	TNF receptor superfamily member 12A
6241	1.18e-20	5.63e-24	0.6026	10.098152	6.085219	235.18	RRM2	ribonucleotide reductase regulatory subunit M2
11065	3.00e-20	1.58e-23	0.6066	9.996665	6.0641136	114.86	UBE2C	ubiquitin conjugating enzyme E2 C
4605	4.86e-20	2.78e-23	0.6747	9.940127	6.7063883	178.98	MYBL2	MYB proto-oncogene like 2
55355	1.42e-19	8.80e-23	0.6714	9.824892	6.5963756	111.14	HJURP	Holliday junction recognition protein
9833	1.77e-19	1.18e-22	0.6331	9.795206	6.2013533	81.32	MELK	maternal embryonic leucine zipper kinase
3426	3.52e-19	2.52e-22	0.3307	9.71829	3.2139098	364.81	CFI	complement factor I
101927646	4.76e-19	3.64e-22	0.3464	9.68088	3.3530246	114.67	LOC101927646	uncharacterized LOC101927646
9212	9.23e-19	7.49e-22	0.7516	9.60668	7.2204527	79.51	AURKB	aurora kinase B
196410	1.10e-18	9.48e-22	0.3871	9.582416	3.7092483	376.6	METTL7B	methyltransferase like 7B
3233	3.06e-18	2.78e-21	0.838	9.470717	7.9361953	139.46	HOXD4	homeobox D4
10024	3.57e-18	3.41e-21	0.6671	9.449327	6.3038229	108.32	TROAP	trophinin associated protein
9787	7.37e-18	7.40e-21	0.8496	9.367933	7.9589192	69.28	DLGAP5	DLG associated protein 5
7431	8.28e-18	8.71e-21	0.278	9.350698	2.5995019	12674.36	VIM	vimentin
3315	1.38e-17	1.58e-20	0.1558	9.287215	1.4466445	1763.67	HSPB1	heat shock protein family B (small) member 1
2012	1.38e-17	1.56e-20	0.3285	9.288755	3.0514704	1289.05	EMP1	epithelial membrane protein 1
301	1.51e-17	1.80e-20	0.3353	9.273514	3.1096071	1249.75	ANXA1	annexin A1
10112	1.81e-17	2.25e-20	0.4926	9.249915	4.5569296	98.08	KIF20A	kinesin family member 20A
9700	2.47e-17	3.19e-20	0.5449	9.212439	5.0199066	110.22	ESPL1	extra spindle pole bodies like 1, separase
56265	4.52e-17	6.05e-20	0.5571	9.1435	5.0935495	327.15	CPXM1	carboxypeptidase X, M14 family member 1
7105	4.92e-17	6.82e-20	0.1937	9.130506	1.7689608	611.52	TSPAN6	tetraspanin 6
100506311	4.93e-17	7.06e-20	0.5675	9.126683	5.1798482	69.26	HOTAIRM1	HOXA transcript antisense RNA, myeloid-specific 1
2634	5.21e-17	7.72e-20	0.2972	9.117011	2.7091929	376.62	GBP2	guanylate binding protein 2
10788	5.49e-17	8.39e-20	0.3704	9.108004	3.3739929	171.54	IQGAP2	IQ motif containing GTPase activating protein 2
374393	5.58e-17	8.80e-20	0.68	9.102861	6.1900169	60.12	FAM111B	FAM111 trypsin like peptidase B
1903	7.68e-17	1.26e-19	0.2233	9.064206	2.0236458	475.21	S1PR3	sphingosine-1-phosphate receptor 3
55165	7.68e-17	1.28e-19	0.5732	9.06176	5.1941357	55.52	CEP55	centrosomal protein 55
64231	1.21e-16	2.08e-19	0.3879	9.009	3.494786	496.49	MS4A6A	membrane spanning 4-domains A6A
1116	1.58e-16	2.79e-19	0.4415	8.97671	3.9633574	7302.16	CHI3L1	chitinase 3 like 1
1058	2.17e-16	3.97e-19	0.6091	8.937918	5.4438783	37.15	CENPA	centromere protein A
720	2.17e-16	4.09e-19	0.2542	8.934462	2.2712798	2164.77	C4A	complement C4A (Rodgers blood group)
9332	2.17e-16	4.24e-19	0.4907	8.930467	4.3819117	1140.24	CD163	CD163 molecule
342	2.17e-16	4.23e-19	0.3435	8.930706	3.0679045	11.54	APOC1P1	apolipoprotein C1 pseudogene 1
10403	2.23e-16	4.48e-19	0.604	8.924329	5.3906684	85	NDC80	NDC80 kinetochore complex component
3976	2.47e-16	5.07e-19	0.5466	8.910714	4.8707184	53.17	LIF	LIF interleukin 6 family cytokine
7465	3.98e-16	8.37e-19	0.3652	8.854935	3.233935	244.65	WEE1	WEE1 G2 checkpoint kinase
255130	4.70e-16	1.01e-18	0.2267	8.83404	2.0024654	429.67	IGFBP7-AS1	IGFBP7 antisense RNA 1
100507347	6.20e-16	1.36e-18	0.2886	8.800539	2.5400422	2096.45	VIM-AS1	VIM antisense RNA 1
721	9.91e-16	2.23e-18	0.2591	8.745259	2.2660801	2215	C4B	complement C4B (Chido blood group)
6474	1.32e-15	3.03e-18	0.6605	8.71026	5.7529528	61.66	SHOX2	short stature homeobox 2
115273	1.84e-15	4.31e-18	0.3654	8.670166	3.1679478	55.47	RAB42	RAB42, member RAS oncogene family
1870	2.68e-15	6.52e-18	0.7033	8.623062	6.0644026	64.42	E2F2	E2F transcription factor 2
8740	2.68e-15	6.42e-18	0.5056	8.624764	4.3607326	52.92	TNFSF14	TNF superfamily member 14
157313	2.68e-15	6.66e-18	0.5757	8.620594	4.9625509	55.09	CDCA2	cell division cycle associated 2
2302	3.98e-15	1.01e-17	0.3913	8.57319	3.3546856	168.06	FOXJ1	forkhead box J1
701	4.13e-15	1.09e-17	0.4778	8.564405	4.0918607	106.9	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
11326	4.13e-15	1.07e-17	0.3451	8.565672	2.9556715	1182.49	VSIG4	V-set and immunoglobulin domain containing 4
10643	4.25e-15	1.14e-17	0.5366	8.559099	4.5924685	147.11	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
