fileID	gsea.subtype.call	knn.subtype.call	svm.subtype.call
X00426c02.8fec.4862.92e6.876a81533b9e	Mesenchymal	Classical	Classical
X006aabaf.a659.436d.baed.f59795f934cf	Proneural	Proneural	Proneural
X00cce172.4b2b.4cb5.b6dd.47c9627972af	Proneural	Classical	Proneural
X03fc636b.9e3d.42ea.88cf.8081539a9859	Mesenchymal	Mesenchymal	Mesenchymal
X068454cb.7789.4814.80a0.1935c6a08798	Classical	Classical	Classical
X06e61218.fbda.4a4f.a9ec.16ccf5255ded	Classical	Classical	Proneural
X072f2d4e.db08.40c2.891a.9199e47fcac3	Proneural	Proneural	Proneural
X09326c4e.9905.444f.aa11.f2944045e455	Proneural	Classical	Mesenchymal
X0d880932.47ab.4b88.b00e.6921d2be5936	Classical	Classical	Classical
X0dfece20.8425.42b1.a50a.fcf81f997351	Mesenchymal	Classical	Proneural
X14aff5e3.5f0c.4e7c.abec.806009b5a39a	Proneural	Proneural	Proneural
X155e74da.ebd4.4f87.ac74.7bf9fd74644f	Mesenchymal	Mesenchymal	Mesenchymal
X16b32013.0291.458e.b637.f73ccbaee84f	Mesenchymal	Classical	Classical
X1b8cc228.a020.4418.be03.ad409d781728	Classical	Classical	Proneural
X1bc3c302.0e49.4944.b3ce.7d6e6f846493	Classical	Classical	Classical
X1c091fe9.f2ca.478c.95be.b924f30c4c75	Proneural	Proneural	Mesenchymal
X20445437.9781.49d6.b55a.afafcc33c459	Classical	Classical	Classical
X20ccfe17.ec2c.433f.a87c.07018a3a7522	Proneural	Classical	Proneural
X20db3a49.ca35.4562.bc96.7e98c381830f	Classical	Classical	Classical
X21b8a64f.800c.45bc.b7a4.a2e666330549	Classical	Classical	Mesenchymal
X22085d53.b816.4c33.b1ef.6f199775f39c	Proneural	Proneural	Proneural
X232c3577.fe73.4c74.99c8.51c82a6aca1c	Classical	Classical	Classical
X2458c146.74ef.4c2a.b2b4.1bb6ab5292a9	Proneural	Classical	Proneural
X278eb29c.4e2d.4ed0.b938.43335a274b9e	Classical	Classical	Classical
X2a4e4787.3070.40e4.955e.32d61402a33d	Mesenchymal	Classical	Classical
X2ada884e.1839.4bb0.ba03.7f04085f0a07	Classical	Classical	Classical
X2b542440.46c8.49b4.8657.a01e864b3f80	Mesenchymal	Mesenchymal	Mesenchymal
X2c257408.2e69.4424.9fb2.6512f4d88b6b	Classical	Classical	Mesenchymal
X2f3ed4ce.16b8.447d.9b18.d1e95d21de76	Mesenchymal	Mesenchymal	Mesenchymal
X3071ca0c.c031.4fe2.a534.e7de322bc4ae	Proneural	Classical	Proneural
X31050be4.da9b.4691.9a70.93d1dda4695a	Classical	Classical	Mesenchymal
X3449e073.b0f2.4498.b9db.18e8593ef580	Mesenchymal	Mesenchymal	Mesenchymal
X34eded85.bb51.4577.a728.152f6914ed1a	Mesenchymal	Mesenchymal	Mesenchymal
X39f91c2c.9527.4185.aa04.eb42e7fab7c1	Mesenchymal	Mesenchymal	Mesenchymal
X3a3c6a53.219d.4048.a012.9e9a2594c72d	Classical	Classical	Proneural
X3a92bb9b.a6ee.418e.9c21.6bfcf3d6b1a9	Mesenchymal	Classical	Mesenchymal
X3bd5dd10.0de9.495a.a94a.c57ecd63c097	Mesenchymal	Mesenchymal	Mesenchymal
X3e599f68.2ba6.4fef.99aa.4b0bdf31e9bb	Classical	Classical	Classical
X3f3cea14.b553.4e0b.a255.a15999e760fe	Proneural	Proneural	Proneural
X3fef7878.8d16.44c6.8d24.a6de90b66747	Classical	Classical	Classical
X41e3970d.06d0.442a.b41e.128b6e0e743c	Proneural	Classical	Classical
X4268518f.c025.4f8f.8d28.a23372797625	Proneural	Classical	Proneural
X4af1f2b3.5b91.4fea.9268.70435ee322f2	Proneural	Classical	Proneural
X4b88ba3b.6b4b.42b4.a64d.d45358cef26d	Mesenchymal	Mesenchymal	Mesenchymal
X4bc70225.3511.4571.8029.7ac499e60742	Proneural	Classical	Classical
X4c8938ac.74ea.46f3.af36.8aa38d01e380	Mesenchymal	Classical	Classical
X51874595.feb0.41a6.811f.dd732cf6c93c	Classical	Classical	Classical
X51eb0c58.e29a.4e05.8b1e.93cbe016c05f	Proneural	Classical	Proneural
X5416b72f.7e75.4fab.a0e0.5396b5bf6cbe	Classical	Classical	Classical
X554056ed.3d15.43df.baca.38683f381695	Proneural	Proneural	Proneural
X55d27295.1e5e.45bf.a4b5.d731f3e538ff	Classical	Classical	Classical
X56c0c169.5480.4d14.b0d7.bd4214d0e7cf	Mesenchymal	Mesenchymal	Mesenchymal
X570657de.da5c.4b5a.9b85.7753729722b6	Proneural	Proneural	Proneural
X574174d5.f635.414b.ae70.afdd6ec6ddcf	Classical	Classical	Classical
X5839c040.bff3.4c8d.82ee.45d0bc793963	Proneural	Classical	Proneural
X5a2427b9.3e21.4ae3.bde7.06efcdf2bea3	Classical	Classical	Classical
