Proneural	Classical	Mesenchymal	Proneural_pval	Classical_pval	Mesenchymal_pval
P1	15000.0537830145	17207.242944443	16455.6341277946	0.977022977022977	1	1
P3	15248.4314027201	18568.2302814687	16488.5328105612	0.958041958041958	1	1
P7	15653.4532925927	18823.995618612	17989.010899617	0.923076923076923	1	0.998001998001998
X00426c02.8fec.4862.92e6.876a81533b9e	17736.123293377	23714.3694504643	22457.9142277018	0.223776223776224	0.0579420579420579	0.010989010989011
X006aabaf.a659.436d.baed.f59795f934cf	18121.5415877601	20426.6136175557	19010.778591173	0.112887112887113	1	0.981018981018981
X00cce172.4b2b.4cb5.b6dd.47c9627972af	19221.7405601741	22857.0167461233	19785.4759053012	0.00999000999000999	0.370629370629371	0.866133866133866
X03fc636b.9e3d.42ea.88cf.8081539a9859	16777.5902388157	23249.9271400834	24966.1430343747	0.603396603396603	0.201798201798202	0.000999000999000999
X068454cb.7789.4814.80a0.1935c6a08798	16635.9210716955	24377.6114560415	21531.8522175797	0.659340659340659	0.004995004995005	0.158841158841159
X06e61218.fbda.4a4f.a9ec.16ccf5255ded	12224.3389176294	22742.3965750944	16178.6123311556	1	0.428571428571429	1
X072f2d4e.db08.40c2.891a.9199e47fcac3	20953.1333697811	21874.454412919	21817.6261829871	0.000999000999000999	0.85014985014985	0.0919080919080919
X09326c4e.9905.444f.aa11.f2944045e455	20187.3979064553	23600.261595587	23072.9675736918	0.001998001998002	0.0819180819180819	0.000999000999000999
X0d880932.47ab.4b88.b00e.6921d2be5936	16209.3662256712	24310.4114511885	21435.7430703458	0.804195804195804	0.00599400599400599	0.18981018981019
X0dfece20.8425.42b1.a50a.fcf81f997351	13341.0852263808	17573.2151201771	17866.5783558239	1	1	0.999000999000999
X14aff5e3.5f0c.4e7c.abec.806009b5a39a	20666.2891953951	21192.6377145256	19353.644038177	0.001998001998002	0.974025974025974	0.936063936063936
X155e74da.ebd4.4f87.ac74.7bf9fd74644f	16411.6762824118	22198.1556918887	23535.6497314741	0.743256743256743	0.732267732267732	0.000999000999000999
X16b32013.0291.458e.b637.f73ccbaee84f	15678.5768857771	24645.5797094438	22592.1033681057	0.919080919080919	0.001998001998002	0.00699300699300699
X1b8cc228.a020.4418.be03.ad409d781728	12187.5796381596	20529.6698577863	17050.9202656228	1	1	1
X1bc3c302.0e49.4944.b3ce.7d6e6f846493	14814.6900289131	23664.9651526477	21485.1587621391	0.987012987012987	0.0659340659340659	0.172827172827173
X1c091fe9.f2ca.478c.95be.b924f30c4c75	19600.5053646933	23227.0061816894	22272.3682378608	0.002997002997003	0.211788211788212	0.027972027972028
X20445437.9781.49d6.b55a.afafcc33c459	17706.5857052102	25417.3591464572	20226.6344002771	0.231768231768232	0.000999000999000999	0.701298701298701
X20ccfe17.ec2c.433f.a87c.07018a3a7522	17128.1199539457	19130.6189141769	20296.8724479535	0.474525474525474	1	0.67032967032967
X20db3a49.ca35.4562.bc96.7e98c381830f	15985.0226078765	24331.0997175885	20358.8182051546	0.86013986013986	0.004995004995005	0.647352647352647
X21b8a64f.800c.45bc.b7a4.a2e666330549	19064.3288543188	24539.4981422836	21279.5726464157	0.017982017982018	0.001998001998002	0.233766233766234
X22085d53.b816.4c33.b1ef.6f199775f39c	20859.6485751837	22421.0542775775	20066.8866792682	0.001998001998002	0.59040959040959	0.768231768231768
X232c3577.fe73.4c74.99c8.51c82a6aca1c	12458.6524385673	22842.7862831877	15169.7026494895	1	0.385614385614386	1
X2458c146.74ef.4c2a.b2b4.1bb6ab5292a9	20796.392918872	22365.4782732128	20374.8150751005	0.001998001998002	0.624375624375624	0.639360639360639
X278eb29c.4e2d.4ed0.b938.43335a274b9e	19215.4637548265	24169.4529728531	21826.0884134492	0.00999000999000999	0.011988011988012	0.0899100899100899
X2a4e4787.3070.40e4.955e.32d61402a33d	15539.2157119764	23064.4800216382	21484.2352088429	0.941058941058941	0.276723276723277	0.173826173826174
X2ada884e.1839.4bb0.ba03.7f04085f0a07	13383.0578791465	22123.3866872131	17662.7048187514	1	0.765234765234765	1
X2b542440.46c8.49b4.8657.a01e864b3f80	15216.0560104263	23096.8964775837	23847.1694708905	0.962037962037962	0.262737262737263	0.000999000999000999
X2c257408.2e69.4424.9fb2.6512f4d88b6b	18207.6194053241	24104.9232377948	21500.2369429389	0.0979020979020979	0.017982017982018	0.167832167832168
X2f3ed4ce.16b8.447d.9b18.d1e95d21de76	17390.5489696135	22538.502198042	22823.8152186172	0.356643356643357	0.525474525474525	0.004995004995005
X3071ca0c.c031.4fe2.a534.e7de322bc4ae	15873.5357561601	21021.0906031835	18217.8221701036	0.887112887112887	0.987012987012987	0.998001998001998
X31050be4.da9b.4691.9a70.93d1dda4695a	16803.870228521	23233.7885438255	22476.7179928673	0.595404595404595	0.205794205794206	0.00999000999000999
X3449e073.b0f2.4498.b9db.18e8593ef580	17771.1826376951	24520.364107763	23811.1339880693	0.213786213786214	0.001998001998002	0.000999000999000999
X34eded85.bb51.4577.a728.152f6914ed1a	16082.2854780411	22810.6189635264	25489.4892588406	0.839160839160839	0.402597402597403	0.000999000999000999
X39f91c2c.9527.4185.aa04.eb42e7fab7c1	14085.1880538845	19391.304415091	21497.944740538	0.995004995004995	1	0.168831168831169
X3a3c6a53.219d.4048.a012.9e9a2594c72d	18483.3796873072	23989.6992599958	20121.7919269509	0.051948051948052	0.024975024975025	0.746253746253746
X3a92bb9b.a6ee.418e.9c21.6bfcf3d6b1a9	18589.782819789	22431.1635974418	23448.1888142735	0.037962037962038	0.585414585414585	0.000999000999000999
X3bd5dd10.0de9.495a.a94a.c57ecd63c097	17933.662329332	24245.3086694432	23482.4467131711	0.160839160839161	0.00899100899100899	0.000999000999000999
X3e599f68.2ba6.4fef.99aa.4b0bdf31e9bb	12778.4608248718	22931.7225104663	15974.5466288076	1	0.333666333666334	1
X3f3cea14.b553.4e0b.a255.a15999e760fe	17511.9525182115	21724.6966618898	18437.3751675006	0.298701298701299	0.898101898101898	0.993006993006993
X3fef7878.8d16.44c6.8d24.a6de90b66747	17685.6908122257	24425.2166801997	21470.6424106567	0.231768231768232	0.002997002997003	0.17982017982018
X41e3970d.06d0.442a.b41e.128b6e0e743c	20296.1377637449	23216.5201061655	22332.7080406573	0.001998001998002	0.214785214785215	0.023976023976024
X4268518f.c025.4f8f.8d28.a23372797625	15437.4575460924	20575.076566307	16598.1274985623	0.946053946053946	1	1
X4af1f2b3.5b91.4fea.9268.70435ee322f2	16725.4931049785	21806.2661283723	17894.507983626	0.624375624375624	0.875124875124875	0.999000999000999
X4b88ba3b.6b4b.42b4.a64d.d45358cef26d	16974.1789419281	24338.9092638592	22410.6576500137	0.532467532467532	0.004995004995005	0.015984015984016
X4bc70225.3511.4571.8029.7ac499e60742	18122.0798462034	23287.0717245252	19809.9695123052	0.112887112887113	0.194805194805195	0.859140859140859
X4c8938ac.74ea.46f3.af36.8aa38d01e380	17511.1282542687	22158.0675839133	20744.1652348318	0.298701298701299	0.746253746253746	0.470529470529471
X51874595.feb0.41a6.811f.dd732cf6c93c	15152.4426902901	24388.6039145674	17914.6068453287	0.97002997002997	0.004995004995005	0.999000999000999
X51eb0c58.e29a.4e05.8b1e.93cbe016c05f	17780.169246353	23004.8776671306	22294.6639114129	0.211788211788212	0.306693306693307	0.025974025974026
X5416b72f.7e75.4fab.a0e0.5396b5bf6cbe	15901.1246697631	24358.799912905	21132.4161139127	0.879120879120879	0.004995004995005	0.280719280719281
X554056ed.3d15.43df.baca.38683f381695	19875.0964609744	20802.7584431647	18676.113702778	0.001998001998002	0.997002997002997	0.989010989010989
X55d27295.1e5e.45bf.a4b5.d731f3e538ff	13856.1723148191	23303.2968290301	20581.4170140084	0.997002997002997	0.187812187812188	0.541458541458541
X56c0c169.5480.4d14.b0d7.bd4214d0e7cf	19512.361575659	22253.9101847959	23957.0264835396	0.004995004995005	0.698301698301698	0.000999000999000999
X570657de.da5c.4b5a.9b85.7753729722b6	21806.7203825245	23952.3302422241	19462.0538050473	0.000999000999000999	0.028971028971029	0.926073926073926
